L,a,b,term
41.22,9.31,37.8,L
30.77,33.51,-35.69,TS
81.35,7.28,109.12,J
51.57,-52.69,9.7,C
71.6,-0.04,0.05,W
51.57,-51.2,-1.36,C
51.57,-18.37,55.88,W
20.54,34.44,-14.69,TS
81.35,-40.58,54.46,C
61.7,20.07,-26.92,TS
30.77,-3.32,26.87,W
61.7,-52.09,10.63,C
20.54,-0.02,0.02,W
20.54,23.81,-41.87,TS
91.08,5.27,-0.1,N
71.6,-46.7,41.31,W
30.77,44.87,-16.65,TS
71.6,30.67,44.56,J
91.08,4.7,-2,N
51.57,-11.71,58.46,W
30.77,-39.18,2.14,C
91.08,5.43,5.64,N
30.77,42.44,-23.6,T
71.6,6.22,81.95,J
30.77,-27.26,20.69,C
41.22,17.04,45.95,L
61.7,-4.52,-39.18,TJ
51.57,55.2,68.32,WE
20.54,24.14,-14.33,TS
81.35,14.87,30.96,J
61.7,-46.97,64.65,TC
30.77,47.63,5.24,TS
41.22,22.15,41.13,J
20.54,7.63,-35.92,TS
20.54,-16.13,-4.67,TJ
81.35,-10.94,87.9,J
20.54,-27.79,7.33,C
20.54,-9.52,-13.99,TJ
81.35,-0.05,0.06,N
61.7,46.38,35.47,WE
20.54,-1.74,11.57,NT
51.57,-56.86,49.22,C
91.08,-5.25,45.24,J
51.57,31.24,-29.94,T
30.77,-0.15,26.58,JU
30.77,7.86,-43.39,TJ
71.6,-41.95,14.43,C
51.57,29.45,64.44,J
61.7,37.1,-18.34,TJ
71.6,-40.28,53.23,C
71.6,38.22,29.22,WE
20.54,-26.87,1.22,C
61.7,2.64,-39.49,TJ
41.22,-38.39,31.53,C
61.7,-1.4,71.61,J
20.54,0.11,-26.61,TJ
61.7,-51.58,26.3,C
51.57,-0.03,0.04,TJ
20.54,-17.35,7.46,C
